STNAME,CTYNAME,YEAR,POPULATION
Colorado,Adams County,2000,350961
Colorado,Alamosa County,2000,14964
Colorado,Arapahoe County,2000,491701
Colorado,Archuleta County,2000,10038
Colorado,Baca County,2000,4501
Colorado,Bent County,2000,5968
Colorado,Boulder County,2000,271669
Colorado,Broomfield County,2000,39563
Colorado,Chaffee County,2000,16315
Colorado,Cheyenne County,2000,2218
Colorado,Clear Creek County,2000,9310
Colorado,Conejos County,2000,8398
Colorado,Costilla County,2000,3668
Colorado,Crowley County,2000,5533
Colorado,Custer County,2000,3514
Colorado,Delta County,2000,27916
Colorado,Denver County,2000,556094
Colorado,Dolores County,2000,1846
Colorado,Douglas County,2000,180311
Colorado,Eagle County,2000,41987
Colorado,Elbert County,2000,20099
Colorado,El Paso County,2000,519463
Colorado,Fremont County,2000,46277
Colorado,Garfield County,2000,44259
Colorado,Gilpin County,2000,4816
Colorado,Grand County,2000,12490
Colorado,Gunnison County,2000,14006
Colorado,Hinsdale County,2000,790
Colorado,Huerfano County,2000,7823
Colorado,Jackson County,2000,1576
Colorado,Jefferson County,2000,526471
Colorado,Kiowa County,2000,1614
Colorado,Kit Carson County,2000,7978
Colorado,Lake County,2000,7832
Colorado,La Plata County,2000,44221
Colorado,Larimer County,2000,253152
Colorado,Las Animas County,2000,15276
Colorado,Lincoln County,2000,6064
Colorado,Logan County,2000,20647
Colorado,Mesa County,2000,117488
Colorado,Mineral County,2000,837
Colorado,Moffat County,2000,13166
Colorado,Montezuma County,2000,23863
Colorado,Montrose County,2000,33600
Colorado,Morgan County,2000,27256
Colorado,Otero County,2000,20248
Colorado,Ouray County,2000,3776
Colorado,Park County,2000,14696
Colorado,Phillips County,2000,4455
Colorado,Pitkin County,2000,14790
Colorado,Prowers County,2000,14444
Colorado,Pueblo County,2000,141839
Colorado,Rio Blanco County,2000,5979
Colorado,Rio Grande County,2000,12429
Colorado,Routt County,2000,19828
Colorado,Saguache County,2000,5978
Colorado,San Juan County,2000,559
Colorado,San Miguel County,2000,6616
Colorado,Sedgwick County,2000,2743
Colorado,Summit County,2000,23701
Colorado,Teller County,2000,20648
Colorado,Washington County,2000,4942
Colorado,Weld County,2000,183045
Colorado,Yuma County,2000,9815
Colorado,Adams County,2001,360348
Colorado,Alamosa County,2001,14991
Colorado,Arapahoe County,2001,502810
Colorado,Archuleta County,2001,10492
Colorado,Baca County,2001,4468
Colorado,Bent County,2001,5763
Colorado,Boulder County,2001,278981
Colorado,Broomfield County,2001,41436
Colorado,Chaffee County,2001,16388
Colorado,Cheyenne County,2001,2173
Colorado,Clear Creek County,2001,9400
Colorado,Conejos County,2001,8320
Colorado,Costilla County,2001,3576
Colorado,Crowley County,2001,5681
Colorado,Custer County,2001,3636
Colorado,Delta County,2001,28147
Colorado,Denver County,2001,564411
Colorado,Dolores County,2001,1835
Colorado,Douglas County,2001,197344
Colorado,Eagle County,2001,43381
Colorado,Elbert County,2001,21167
Colorado,El Paso County,2001,535549
Colorado,Fremont County,2001,46747
Colorado,Garfield County,2001,45579
Colorado,Gilpin County,2001,4833
Colorado,Grand County,2001,12645
Colorado,Gunnison County,2001,14194
Colorado,Hinsdale County,2001,815
Colorado,Huerfano County,2001,7869
Colorado,Jackson County,2001,1522
Colorado,Jefferson County,2001,529690
Colorado,Kiowa County,2001,1534
Colorado,Kit Carson County,2001,7974
Colorado,Lake County,2001,7839
Colorado,La Plata County,2001,45103
Colorado,Larimer County,2001,260746
Colorado,Las Animas County,2001,15119
Colorado,Lincoln County,2001,5866
Colorado,Logan County,2001,21271
Colorado,Mesa County,2001,119287
Colorado,Mineral County,2001,821
Colorado,Moffat County,2001,13145
Colorado,Montezuma County,2001,23707
Colorado,Montrose County,2001,34342
Colorado,Morgan County,2001,27281
Colorado,Otero County,2001,20008
Colorado,Ouray County,2001,3808
Colorado,Park County,2001,15346
Colorado,Phillips County,2001,4470
Colorado,Pitkin County,2001,14909
Colorado,Prowers County,2001,14251
Colorado,Pueblo County,2001,144130
Colorado,Rio Blanco County,2001,5846
Colorado,Rio Grande County,2001,12172
Colorado,Routt County,2001,20214
Colorado,Saguache County,2001,6155
Colorado,San Juan County,2001,567
Colorado,San Miguel County,2001,6885
Colorado,Sedgwick County,2001,2650
Colorado,Summit County,2001,24715
Colorado,Teller County,2001,21055
Colorado,Washington County,2001,4816
Colorado,Weld County,2001,193060
Colorado,Yuma County,2001,9785
Colorado,Adams County,2002,371781
Colorado,Alamosa County,2002,15168
Colorado,Arapahoe County,2002,509598
Colorado,Archuleta County,2002,10951
