BUYER_STATE,BUYER_COUNTY,YEAR,MME,FIPS Code,State,STNAME,CTYNAME,POPULATION
AZ,APACHE,2006,4956968.6893125,4001,Arizona,Arizona,APACHE,69066.0
AZ,APACHE,2007,5611683.7840875,4001,Arizona,Arizona,APACHE,69278.0
AZ,APACHE,2008,5853243.8193125,4001,Arizona,Arizona,APACHE,69520.0
AZ,APACHE,2009,7344331.7925,4001,Arizona,Arizona,APACHE,70591.0
AZ,APACHE,2010,7732743.45,4001,Arizona,Arizona,APACHE,71828.0
AZ,APACHE,2011,7855510.95,4001,Arizona,Arizona,APACHE,72181.0
AZ,APACHE,2012,8448550.207725,4001,Arizona,Arizona,APACHE,72231.0
AZ,APACHE,2013,9726017.550225,4001,Arizona,Arizona,APACHE,72333.0
AZ,APACHE,2014,10752586.170225,4001,Arizona,Arizona,APACHE,71808.0
AZ,COCHISE,2006,36249596.37495,4003,Arizona,Arizona,COCHISE,126751.0
AZ,COCHISE,2007,43407991.0758,4003,Arizona,Arizona,COCHISE,127736.0
AZ,COCHISE,2008,51387538.7199375,4003,Arizona,Arizona,COCHISE,128425.0
AZ,COCHISE,2009,57900578.6980875,4003,Arizona,Arizona,COCHISE,129518.0
AZ,COCHISE,2010,65485620.293775,4003,Arizona,Arizona,COCHISE,131823.0
AZ,COCHISE,2011,68738490.2799,4003,Arizona,Arizona,COCHISE,133124.0
AZ,COCHISE,2012,67010466.60795,4003,Arizona,Arizona,COCHISE,132085.0
AZ,COCHISE,2013,67230743.152575,4003,Arizona,Arizona,COCHISE,129664.0
AZ,COCHISE,2014,66387520.5624,4003,Arizona,Arizona,COCHISE,127437.0
AZ,COCONINO,2006,24139042.931362502,4005,Arizona,Arizona,COCONINO,126029.0
AZ,COCONINO,2007,28000955.807725,4005,Arizona,Arizona,COCONINO,127451.0
AZ,COCONINO,2008,33009961.254125,4005,Arizona,Arizona,COCONINO,128426.0
AZ,COCONINO,2009,32485513.5834,4005,Arizona,Arizona,COCONINO,129849.0
AZ,COCONINO,2010,32124157.7002125,4005,Arizona,Arizona,COCONINO,134624.0
AZ,COCONINO,2011,35299934.5452,4005,Arizona,Arizona,COCONINO,134309.0
AZ,COCONINO,2012,38684080.666725,4005,Arizona,Arizona,COCONINO,136204.0
AZ,COCONINO,2013,38150825.911725,4005,Arizona,Arizona,COCONINO,136788.0
AZ,COCONINO,2014,42496644.7299,4005,Arizona,Arizona,COCONINO,137675.0
AZ,GILA,2006,27926225.59835,4007,Arizona,Arizona,GILA,51635.0
AZ,GILA,2007,29464154.4288875,4007,Arizona,Arizona,GILA,52231.0
AZ,GILA,2008,28275622.221612506,4007,Arizona,Arizona,GILA,52273.0
AZ,GILA,2009,31793100.66195,4007,Arizona,Arizona,GILA,52199.0
AZ,GILA,2010,37909465.15065,4007,Arizona,Arizona,GILA,53565.0
AZ,GILA,2011,44194370.484975,4007,Arizona,Arizona,GILA,53445.0
AZ,GILA,2012,52870739.7997125,4007,Arizona,Arizona,GILA,53009.0
AZ,GILA,2013,52120698.25335,4007,Arizona,Arizona,GILA,53026.0
AZ,GILA,2014,54584862.3233625,4007,Arizona,Arizona,GILA,53074.0
AZ,GRAHAM,2006,17926884.489125,4009,Arizona,Arizona,GRAHAM,33286.0
AZ,GRAHAM,2007,27183827.5514,4009,Arizona,Arizona,GRAHAM,34736.0
AZ,GRAHAM,2008,35978087.9888625,4009,Arizona,Arizona,GRAHAM,36204.0
AZ,GRAHAM,2009,40805562.7125,4009,Arizona,Arizona,GRAHAM,37045.0
AZ,GRAHAM,2010,41436659.175,4009,Arizona,Arizona,GRAHAM,37154.0
AZ,GRAHAM,2011,45144496.410225,4009,Arizona,Arizona,GRAHAM,37129.0
AZ,GRAHAM,2012,45704127.360225,4009,Arizona,Arizona,GRAHAM,37027.0
AZ,GRAHAM,2013,39075426.3806625,4009,Arizona,Arizona,GRAHAM,37456.0
AZ,GRAHAM,2014,31977803.535225,4009,Arizona,Arizona,GRAHAM,38123.0
AZ,GREENLEE,2006,604813.875,4011,Arizona,Arizona,GREENLEE,7465.0
AZ,GREENLEE,2007,885840.1875,4011,Arizona,Arizona,GREENLEE,7760.0
AZ,GREENLEE,2008,1462275.7125,4011,Arizona,Arizona,GREENLEE,8058.0
AZ,GREENLEE,2009,1335033.792,4011,Arizona,Arizona,GREENLEE,8041.0
AZ,GREENLEE,2010,1806066.825,4011,Arizona,Arizona,GREENLEE,8342.0
AZ,GREENLEE,2011,1563218.625,4011,Arizona,Arizona,GREENLEE,8587.0
AZ,GREENLEE,2012,1478646.7875,4011,Arizona,Arizona,GREENLEE,8764.0
AZ,GREENLEE,2013,1719970.3125,4011,Arizona,Arizona,GREENLEE,8918.0
AZ,GREENLEE,2014,1702671.1125,4011,Arizona,Arizona,GREENLEE,9356.0
AZ,LA PAZ,2006,6574601.020500001,4012,Arizona,Arizona,LA PAZ,20118.0
AZ,LA PAZ,2007,6792135.495,4012,Arizona,Arizona,LA PAZ,20133.0
AZ,LA PAZ,2008,7148771.6955,4012,Arizona,Arizona,LA PAZ,20005.0
AZ,LA PAZ,2009,7063366.1625,4012,Arizona,Arizona,LA PAZ,20012.0
AZ,LA PAZ,2010,7904572.726125,4012,Arizona,Arizona,LA PAZ,20499.0
AZ,LA PAZ,2011,8556663.4999875,4012,Arizona,Arizona,LA PAZ,20606.0
AZ,LA PAZ,2012,9502669.5043125,4012,Arizona,Arizona,LA PAZ,20524.0
AZ,LA PAZ,2013,9517609.62,4012,Arizona,Arizona,LA PAZ,20526.0
