YEAR,STNAME,CTYNAME,Death Rate (%),POPULATION,Indicator
2003,Colorado,Adams County,0.011088084269440447,378785,Control
2003,Colorado,Alamosa County,0.009527349426185473,15125,Control
2003,Colorado,Arapahoe County,0.008747953950770403,514406,Control
2003,Colorado,Archuleta County,0.009527349426185473,11167,Control
2003,Colorado,Baca County,0.009527349426185473,4106,Control
2003,Colorado,Bent County,0.009527349426185473,6144,Control
2003,Colorado,Boulder County,0.007089031142113808,282126,Control
2003,Colorado,Broomfield County,0.009527349426185473,45098,Control
2003,Colorado,Chaffee County,0.009527349426185473,16678,Control
2003,Colorado,Cheyenne County,0.009527349426185473,1986,Control
2003,Colorado,Clear Creek County,0.009527349426185473,9335,Control
2003,Colorado,Conejos County,0.009527349426185473,8220,Control
2003,Colorado,Costilla County,0.009527349426185473,3522,Control
2003,Colorado,Crowley County,0.009527349426185473,5627,Control
2003,Colorado,Custer County,0.009527349426185473,3794,Control
2003,Colorado,Delta County,0.009527349426185473,28988,Control
2003,Colorado,Denver County,0.019163572734713467,558351,Control
2003,Colorado,Dolores County,0.009527349426185473,1802,Control
2003,Colorado,Douglas County,0.009527349426185473,221978,Control
2003,Colorado,Eagle County,0.009527349426185473,45312,Control
2003,Colorado,Elbert County,0.009527349426185473,21953,Control
2003,Colorado,El Paso County,0.009616623331379767,551129,Control
2003,Colorado,Fremont County,0.009527349426185473,47108,Control
2003,Colorado,Garfield County,0.009527349426185473,47388,Control
2003,Colorado,Gilpin County,0.009527349426185473,4867,Control
2003,Colorado,Grand County,0.009527349426185473,13017,Control
2003,Colorado,Gunnison County,0.009527349426185473,14254,Control
2003,Colorado,Hinsdale County,0.009527349426185473,777,Control
2003,Colorado,Huerfano County,0.009527349426185473,7934,Control
2003,Colorado,Jackson County,0.009527349426185473,1494,Control
2003,Colorado,Jefferson County,0.009498011116472211,526426,Control
2003,Colorado,Kiowa County,0.009527349426185473,1452,Control
2003,Colorado,Kit Carson County,0.009527349426185473,8072,Control
2003,Colorado,Lake County,0.009527349426185473,7691,Control
2003,Colorado,La Plata County,0.009527349426185473,46258,Control
2003,Colorado,Larimer County,0.00856065596956873,268671,Control
2003,Colorado,Las Animas County,0.009527349426185473,15720,Control
2003,Colorado,Lincoln County,0.009527349426185473,5786,Control
2003,Colorado,Logan County,0.009527349426185473,21286,Control
2003,Colorado,Mesa County,0.009527349426185473,124510,Control
2003,Colorado,Mineral County,0.009527349426185473,894,Control
2003,Colorado,Moffat County,0.009527349426185473,13245,Control
2003,Colorado,Montezuma County,0.009527349426185473,24239,Control
2003,Colorado,Montrose County,0.009527349426185473,35674,Control
2003,Colorado,Morgan County,0.009527349426185473,27634,Control
2003,Colorado,Otero County,0.009527349426185473,19546,Control
2003,Colorado,Ouray County,0.009527349426185473,3941,Control
2003,Colorado,Park County,0.009527349426185473,16242,Control
2003,Colorado,Phillips County,0.009527349426185473,4449,Control
2003,Colorado,Pitkin County,0.009527349426185473,14923,Control
2003,Colorado,Prowers County,0.009527349426185473,13992,Control
2003,Colorado,Pueblo County,0.0067599083356429685,147931,Control
2003,Colorado,Rio Blanco County,0.009527349426185473,5859,Control
2003,Colorado,Rio Grande County,0.009527349426185473,12192,Control
2003,Colorado,Routt County,0.009527349426185473,20833,Control
2003,Colorado,Saguache County,0.009527349426185473,6590,Control
2003,Colorado,San Juan County,0.009527349426185473,572,Control
2003,Colorado,San Miguel County,0.009527349426185473,7121,Control
2003,Colorado,Sedgwick County,0.009527349426185473,2620,Control
2003,Colorado,Summit County,0.009527349426185473,25313,Control
2003,Colorado,Teller County,0.009527349426185473,21270,Control
2003,Colorado,Washington County,0.009527349426185473,4890,Control
2003,Colorado,Weld County,0.005222303985567451,210635,Control
2003,Colorado,Yuma County,0.009527349426185473,9827,Control
2004,Colorado,Adams County,0.01189666453733613,386663,Control
2004,Colorado,Alamosa County,0.011426907269684936,15293,Control
2004,Colorado,Arapahoe County,0.0125051704069952,519785,Control
2004,Colorado,Archuleta County,0.011426907269684936,11374,Control
2004,Colorado,Baca County,0.011426907269684936,4050,Control
2004,Colorado,Bent County,0.011426907269684936,6195,Control
2004,Colorado,Boulder County,0.007022102066253533,284815,Control
2004,Colorado,Broomfield County,0.011426907269684936,46591,Control
2004,Colorado,Chaffee County,0.011426907269684936,16725,Control
2004,Colorado,Cheyenne County,0.011426907269684936,1932,Control
2004,Colorado,Clear Creek County,0.011426907269684936,9048,Control
2004,Colorado,Conejos County,0.011426907269684936,8235,Control
2004,Colorado,Costilla County,0.011426907269684936,3497,Control
2004,Colorado,Crowley County,0.011426907269684936,5920,Control
2004,Colorado,Custer County,0.011426907269684936,3821,Control
2004,Colorado,Delta County,0.011426907269684936,29402,Control
2004,Colorado,Denver County,0.01987445076686732,558506,Control
2004,Colorado,Dolores County,0.011426907269684936,1797,Control
2004,Colorado,Douglas County,0.011426907269684936,234810,Control
2004,Colorado,Eagle County,0.011426907269684936,46317,Control
2004,Colorado,Elbert County,0.011426907269684936,22139,Control
2004,Colorado,El Paso County,0.01073960048686189,558680,Control
2004,Colorado,Fremont County,0.011426907269684936,46858,Control
2004,Colorado,Garfield County,0.011426907269684936,47881,Control
2004,Colorado,Gilpin County,0.011426907269684936,4861,Control
2004,Colorado,Grand County,0.011426907269684936,13186,Control
2004,Colorado,Gunnison County,0.011426907269684936,14315,Control
