BUYER_STATE,BUYER_COUNTY,YEAR,MME
AZ,APACHE,2006,4956968.6893125
AZ,APACHE,2007,5611683.7840875
AZ,APACHE,2008,5853243.8193125
AZ,APACHE,2009,7344331.7925
AZ,APACHE,2010,7732743.45
AZ,APACHE,2011,7855510.95
AZ,APACHE,2012,8448550.207725
AZ,APACHE,2013,9726017.550225
AZ,APACHE,2014,10752586.170225
AZ,COCHISE,2006,36249596.37495
AZ,COCHISE,2007,43407991.0758
AZ,COCHISE,2008,51387538.7199375
AZ,COCHISE,2009,57900578.6980875
AZ,COCHISE,2010,65485620.293775
AZ,COCHISE,2011,68738490.2799
AZ,COCHISE,2012,67010466.60795
AZ,COCHISE,2013,67230743.152575
AZ,COCHISE,2014,66387520.5624
AZ,COCONINO,2006,24139042.931362502
AZ,COCONINO,2007,28000955.807725
AZ,COCONINO,2008,33009961.254125
AZ,COCONINO,2009,32485513.5834
AZ,COCONINO,2010,32124157.7002125
AZ,COCONINO,2011,35299934.5452
AZ,COCONINO,2012,38684080.666725
AZ,COCONINO,2013,38150825.911725
AZ,COCONINO,2014,42496644.7299
AZ,GILA,2006,27926225.59835
AZ,GILA,2007,29464154.4288875
AZ,GILA,2008,28275622.221612502
AZ,GILA,2009,31793100.66195
AZ,GILA,2010,37909465.15065
AZ,GILA,2011,44194370.484975
AZ,GILA,2012,52870739.7997125
AZ,GILA,2013,52120698.25335
AZ,GILA,2014,54584862.3233625
AZ,GRAHAM,2006,17926884.489125
AZ,GRAHAM,2007,27183827.5514
AZ,GRAHAM,2008,35978087.9888625
AZ,GRAHAM,2009,40805562.7125
AZ,GRAHAM,2010,41436659.175
AZ,GRAHAM,2011,45144496.410225
AZ,GRAHAM,2012,45704127.360225
AZ,GRAHAM,2013,39075426.3806625
AZ,GRAHAM,2014,31977803.535225
AZ,GREENLEE,2006,604813.875
AZ,GREENLEE,2007,885840.1875
AZ,GREENLEE,2008,1462275.7125
AZ,GREENLEE,2009,1335033.7920000001
AZ,GREENLEE,2010,1806066.825
AZ,GREENLEE,2011,1563218.625
AZ,GREENLEE,2012,1478646.7875
AZ,GREENLEE,2013,1719970.3125
AZ,GREENLEE,2014,1702671.1125
AZ,LA PAZ,2006,6574601.020500001
AZ,LA PAZ,2007,6792135.495
AZ,LA PAZ,2008,7148771.6955
AZ,LA PAZ,2009,7063366.1625
AZ,LA PAZ,2010,7904572.726125
AZ,LA PAZ,2011,8556663.4999875
AZ,LA PAZ,2012,9502669.5043125
AZ,LA PAZ,2013,9517609.62
AZ,LA PAZ,2014,11413032.855
AZ,MARICOPA,2006,1025699797.2850375
AZ,MARICOPA,2007,1201326197.022075
AZ,MARICOPA,2008,1380488248.948425
AZ,MARICOPA,2009,1629777931.2170625
AZ,MARICOPA,2010,1784577100.201575
AZ,MARICOPA,2011,1989036715.2093
AZ,MARICOPA,2012,2096280142.9267876
AZ,MARICOPA,2013,2049540286.153725
AZ,MARICOPA,2014,2114214074.4040124
AZ,MOHAVE,2006,86907833.21935
AZ,MOHAVE,2007,107756985.0552125
AZ,MOHAVE,2008,129104758.2622875
AZ,MOHAVE,2009,140256831.3987
AZ,MOHAVE,2010,149743634.03325
AZ,MOHAVE,2011,174326073.0376125
AZ,MOHAVE,2012,190143758.442075
AZ,MOHAVE,2013,184079185.813275
AZ,MOHAVE,2014,185289672.0512625
AZ,NAVAJO,2006,22462061.395037502
AZ,NAVAJO,2007,26295310.266025
AZ,NAVAJO,2008,29720362.620837502
AZ,NAVAJO,2009,32246978.6172375
AZ,NAVAJO,2010,32063725.4911125
AZ,NAVAJO,2011,36212987.6158875
AZ,NAVAJO,2012,40969740.5014875
AZ,NAVAJO,2013,46001419.6158375
AZ,NAVAJO,2014,49893247.3535625
AZ,PIMA,2006,423408970.3601375
AZ,PIMA,2007,487865064.144
AZ,PIMA,2008,551950812.921975
AZ,PIMA,2009,599141920.0165125
AZ,PIMA,2010,629763958.2411
AZ,PIMA,2011,723483049.206225
AZ,PIMA,2012,785873316.23355
AZ,PIMA,2013,637355161.4844375
AZ,PIMA,2014,585927326.5008
AZ,PINAL,2006,70967163.0568375
AZ,PINAL,2007,81812755.62460001
AZ,PINAL,2008,85899390.2579875
AZ,PINAL,2009,90957004.5106125
AZ,PINAL,2010,107829062.1315375
AZ,PINAL,2011,134011183.3751625
AZ,PINAL,2012,138992054.8089375
AZ,PINAL,2013,143488904.4598125
AZ,PINAL,2014,160531604.90373752
AZ,SANTA CRUZ,2006,5018852.5875
AZ,SANTA CRUZ,2007,4826517.066
AZ,SANTA CRUZ,2008,5268527.0715
AZ,SANTA CRUZ,2009,5260041.4540875
AZ,SANTA CRUZ,2010,5680984.66545
AZ,SANTA CRUZ,2011,5879814.585
AZ,SANTA CRUZ,2012,8705488.2975
AZ,SANTA CRUZ,2013,11228715.382725
AZ,SANTA CRUZ,2014,8931089.6775
AZ,YAVAPAI,2006,71430087.851725
AZ,YAVAPAI,2007,80612080.0231125
AZ,YAVAPAI,2008,84208443.1367625
AZ,YAVAPAI,2009,94923632.5864125
AZ,YAVAPAI,2010,110148523.001175
AZ,YAVAPAI,2011,129925260.2719125
AZ,YAVAPAI,2012,136628833.8244875
AZ,YAVAPAI,2013,128540935.1328
AZ,YAVAPAI,2014,128554520.784675
AZ,YUMA,2006,25894650.6193125
AZ,YUMA,2007,29081098.18525
AZ,YUMA,2008,32244451.655125
AZ,YUMA,2009,36826472.2858875
AZ,YUMA,2010,38884534.6602
