County,County Code,Year,Year Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,CTYNAME,STNAME
"Cochise County, AZ",4003.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,Cochise County,AZ
"Gila County, AZ",4007.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Gila County,AZ
"Maricopa County, AZ",4013.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,411.0,Maricopa County,AZ
"Maricopa County, AZ",4013.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,118.0,Maricopa County,AZ
"Maricopa County, AZ",4013.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,45.0,Maricopa County,AZ
"Mohave County, AZ",4015.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,Mohave County,AZ
"Navajo County, AZ",4017.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,Navajo County,AZ
"Pima County, AZ",4019.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,137.0,Pima County,AZ
"Pima County, AZ",4019.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,19.0,Pima County,AZ
"Pinal County, AZ",4021.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0,Pinal County,AZ
"Yavapai County, AZ",4025.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Yavapai County,AZ
"Yavapai County, AZ",4025.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,Yavapai County,AZ
"Yuma County, AZ",4027.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Yuma County,AZ
"Adams County, CO",8001.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,51.0,Adams County,CO
"Adams County, CO",8001.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,19.0,Adams County,CO
"Arapahoe County, CO",8005.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,75.0,Arapahoe County,CO
"Arapahoe County, CO",8005.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,Arapahoe County,CO
"Boulder County, CO",8013.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,Boulder County,CO
"Denver County, CO",8031.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,109.0,Denver County,CO
"Denver County, CO",8031.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,19.0,Denver County,CO
"Denver County, CO",8031.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,20.0,Denver County,CO
"Douglas County, CO",8035.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Douglas County,CO
"El Paso County, CO",8041.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,63.0,El Paso County,CO
"El Paso County, CO",8041.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,El Paso County,CO
"Jefferson County, CO",8059.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0,Jefferson County,CO
"Jefferson County, CO",8059.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,29.0,Jefferson County,CO
"Larimer County, CO",8069.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,Larimer County,CO
"Pueblo County, CO",8101.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,11.0,Pueblo County,CO
"Weld County, CO",8123.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,Weld County,CO
