YEAR,STNAME,CTYNAME,Death Rate (%),POPULATION,Indicator
2003,New York,Albany County,0.005506399492359144,298491,Control
2003,New York,Allegany County,0.005506399492359144,50220,Control
2003,New York,Bronx County,0.009677095275804603,1353712,Control
2003,New York,Broome County,0.005506399492359144,198364,Control
2003,New York,Cattaraugus County,0.005506399492359144,82968,Control
2003,New York,Cayuga County,0.005506399492359144,81073,Control
2003,New York,Chautauqua County,0.005506399492359144,136904,Control
2003,New York,Chemung County,0.005506399492359144,89816,Control
2003,New York,Chenango County,0.005506399492359144,51254,Control
2003,New York,Clinton County,0.005506399492359144,81066,Control
2003,New York,Columbia County,0.005506399492359144,62782,Control
2003,New York,Cortland County,0.005506399492359144,48802,Control
2003,New York,Delaware County,0.005506399492359144,47011,Control
2003,New York,Dutchess County,0.005506399492359144,289088,Control
2003,New York,Erie County,0.005506399492359144,936931,Control
2003,New York,Essex County,0.005506399492359144,38626,Control
2003,New York,Franklin County,0.005506399492359144,50654,Control
2003,New York,Fulton County,0.005506399492359144,54881,Control
2003,New York,Genesee County,0.005506399492359144,59506,Control
2003,New York,Greene County,0.005506399492359144,48361,Control
2003,New York,Hamilton County,0.005506399492359144,5207,Control
2003,New York,Herkimer County,0.005506399492359144,63208,Control
2003,New York,Jefferson County,0.005506399492359144,113353,Control
2003,New York,Kings County,0.008698579715234274,2483164,Control
2003,New York,Lewis County,0.005506399492359144,26353,Control
2003,New York,Livingston County,0.005506399492359144,63880,Control
2003,New York,Madison County,0.005506399492359144,69828,Control
2003,New York,Monroe County,0.005506399492359144,737420,Control
2003,New York,Montgomery County,0.005506399492359144,48938,Control
2003,New York,Nassau County,0.0015514585557398425,1353565,Control
2003,New York,New York County,0.012477712714915934,1578815,Control
2003,New York,Niagara County,0.005506399492359144,217281,Control
2003,New York,Oneida County,0.005506399492359144,232578,Control
2003,New York,Onondaga County,0.0021875184571869826,457139,Control
2003,New York,Ontario County,0.005506399492359144,102119,Control
2003,New York,Orange County,0.005506399492359144,362609,Control
2003,New York,Orleans County,0.005506399492359144,43201,Control
2003,New York,Oswego County,0.005506399492359144,122712,Control
2003,New York,Otsego County,0.005506399492359144,62126,Control
2003,New York,Putnam County,0.005506399492359144,98738,Control
2003,New York,Queens County,0.006327314660922772,2244238,Control
2003,New York,Rensselaer County,0.005506399492359144,152881,Control
2003,New York,Richmond County,0.005569968443986469,466789,Control
2003,New York,Rockland County,0.005506399492359144,290614,Control
2003,New York,St. Lawrence County,0.005506399492359144,110381,Control
2003,New York,Saratoga County,0.005506399492359144,209711,Control
2003,New York,Schenectady County,0.005506399492359144,146967,Control
2003,New York,Schoharie County,0.005506399492359144,31691,Control
2003,New York,Schuyler County,0.005506399492359144,19261,Control
