BUYER_STATE,BUYER_COUNTY,YEAR,MONTH,MME
IL,ADAMS,2006,1,165410.055
IL,ADAMS,2006,2,816565.59
IL,ADAMS,2006,3,940374.65
IL,ADAMS,2006,4,877958.51
IL,ADAMS,2006,5,984764.605
IL,ADAMS,2006,6,1029728.8275
IL,ADAMS,2006,7,1153301.4375
IL,ADAMS,2006,8,1094150.85
IL,ADAMS,2006,9,932646.9450000001
IL,ADAMS,2006,10,1483394.67
IL,ADAMS,2006,11,1215397.5
IL,ADAMS,2006,12,1304924.34
IL,ADAMS,2007,1,140048.1
IL,ADAMS,2007,2,1052272.6
IL,ADAMS,2007,3,1102476.9725
IL,ADAMS,2007,4,1006092.7050000001
IL,ADAMS,2007,5,1200012.4935
IL,ADAMS,2007,6,1008315.260225
IL,ADAMS,2007,7,1271734.375725
IL,ADAMS,2007,8,1022746.175
IL,ADAMS,2007,9,1143195.1940000001
IL,ADAMS,2007,10,1689869.857725
IL,ADAMS,2007,11,1442500.04
IL,ADAMS,2007,12,1672218.033
IL,ADAMS,2008,1,82435.2
IL,ADAMS,2008,2,1193342.402
IL,ADAMS,2008,3,1168438.341
IL,ADAMS,2008,4,1344684.1955
IL,ADAMS,2008,5,1258682.0702250001
IL,ADAMS,2008,6,1211542.4365875
IL,ADAMS,2008,7,1363372.6500000001
IL,ADAMS,2008,8,1382284.0875000001
IL,ADAMS,2008,9,1319817.45
IL,ADAMS,2008,10,1838077.3845
IL,ADAMS,2008,11,1612581.9735
IL,ADAMS,2008,12,1885628.7
IL,ADAMS,2009,1,57569.475000000006
IL,ADAMS,2009,2,1250826.5775000001
IL,ADAMS,2009,3,1498286.7375
IL,ADAMS,2009,4,1418494.35
IL,ADAMS,2009,5,1282020.0375
IL,ADAMS,2009,6,1615549.125
IL,ADAMS,2009,7,1519725.8625
IL,ADAMS,2009,8,1395646.725
IL,ADAMS,2009,9,1581848.625
IL,ADAMS,2009,10,1869405.825
IL,ADAMS,2009,11,2042713.05
IL,ADAMS,2009,12,2045711.1375
IL,ADAMS,2010,1,63999.7125
IL,ADAMS,2010,2,1464782.8875
IL,ADAMS,2010,3,1791422.4375
IL,ADAMS,2010,4,1678440.7875
IL,ADAMS,2010,5,1620292.8375000001
IL,ADAMS,2010,6,1700436.2775
IL,ADAMS,2010,7,1665944.7375
IL,ADAMS,2010,8,1784469.5025
IL,ADAMS,2010,9,1651374.75
IL,ADAMS,2010,10,1991605.9125
IL,ADAMS,2010,11,2266845.7875
IL,ADAMS,2010,12,2350164.975
IL,ADAMS,2011,1,268214.55
IL,ADAMS,2011,2,1550201.8725
IL,ADAMS,2011,3,1723243.8825
IL,ADAMS,2011,4,1773960.855
IL,ADAMS,2011,5,1751976.9225
IL,ADAMS,2011,6,1804735.425
IL,ADAMS,2011,7,1534259.3625
IL,ADAMS,2011,8,1758592.53
IL,ADAMS,2011,9,1700739.1425
IL,ADAMS,2011,10,1957712.0250000001
IL,ADAMS,2011,11,2243580.165
IL,ADAMS,2011,12,2155922.7525
IL,ADAMS,2012,1,227631.075
IL,ADAMS,2012,2,1490748.465
IL,ADAMS,2012,3,1611189.51
IL,ADAMS,2012,4,1805153.46
IL,ADAMS,2012,5,1812399.1875
IL,ADAMS,2012,6,1699705.44
IL,ADAMS,2012,7,1772656.065
IL,ADAMS,2012,8,1816033.095
IL,ADAMS,2012,9,1738413.9525
IL,ADAMS,2012,10,2276394.8850000002
IL,ADAMS,2012,11,2224271.3625
IL,ADAMS,2012,12,2201233.2225
IL,ADAMS,2013,1,207060.6
IL,ADAMS,2013,2,1564360.8225
IL,ADAMS,2013,3,1615578.3075
IL,ADAMS,2013,4,1879289.2875
IL,ADAMS,2013,5,1868810.52
IL,ADAMS,2013,6,1679918.767725
IL,ADAMS,2013,7,2009969.0175
IL,ADAMS,2013,8,1725185.7338625
IL,ADAMS,2013,9,1850690.8275000001
IL,ADAMS,2013,10,2417709.2625
IL,ADAMS,2013,11,2236444.185
IL,ADAMS,2013,12,2396690.0925000003
IL,ADAMS,2014,1,326609.0625
IL,ADAMS,2014,2,1816813.2675
IL,ADAMS,2014,3,1882977.7275
IL,ADAMS,2014,4,1836511.6500000001
IL,ADAMS,2014,5,1953627.285
IL,ADAMS,2014,6,1947216.54
IL,ADAMS,2014,7,2009564.1825
IL,ADAMS,2014,8,1830923.46
IL,ADAMS,2014,9,2116790.3025
IL,ADAMS,2014,10,2483577.2438625
IL,ADAMS,2014,11,2040681.7125000001
IL,ADAMS,2014,12,2451979.0275
IL,ALEXANDER,2006,1,18325.275
IL,ALEXANDER,2006,2,77273.1375
IL,ALEXANDER,2006,3,93747.4875
IL,ALEXANDER,2006,4,53047.6875
IL,ALEXANDER,2006,5,75679.275
IL,ALEXANDER,2006,6,68027.4
IL,ALEXANDER,2006,7,46544.8875
IL,ALEXANDER,2006,8,71387.9625
IL,ALEXANDER,2006,9,72028.125
IL,ALEXANDER,2006,10,73796.025
IL,ALEXANDER,2006,11,99162.825
IL,ALEXANDER,2006,12,92357.1
IL,ALEXANDER,2007,1,3935.1000000000004
IL,ALEXANDER,2007,2,55319.25
IL,ALEXANDER,2007,3,148121.025
IL,ALEXANDER,2007,4,39194.325
IL,ALEXANDER,2007,5,46385.6625
IL,ALEXANDER,2007,6,105244.725
IL,ALEXANDER,2007,7,43662.675
IL,ALEXANDER,2007,8,61588.95
IL,ALEXANDER,2007,9,92063.8125
