BUYER_STATE,BUYER_COUNTY,YEAR,MONTH,MME,FIPS Code,State_x,STNAME,CTYNAME,POPULATION,State_y
IL,ADAMS,2006,1,165410.055,17001,Illinois,Illinois,ADAMS,66922,Illinois
IL,ADAMS,2006,2,816565.59,17001,Illinois,Illinois,ADAMS,66922,Illinois
IL,ADAMS,2006,3,940374.65,17001,Illinois,Illinois,ADAMS,66922,Illinois
IL,ADAMS,2006,4,877958.51,17001,Illinois,Illinois,ADAMS,66922,Illinois
IL,ADAMS,2006,5,984764.605,17001,Illinois,Illinois,ADAMS,66922,Illinois
IL,ADAMS,2006,6,1029728.8275,17001,Illinois,Illinois,ADAMS,66922,Illinois
IL,ADAMS,2006,7,1153301.4375,17001,Illinois,Illinois,ADAMS,66922,Illinois
IL,ADAMS,2006,8,1094150.85,17001,Illinois,Illinois,ADAMS,66922,Illinois
IL,ADAMS,2006,9,932646.945,17001,Illinois,Illinois,ADAMS,66922,Illinois
IL,ADAMS,2006,10,1483394.67,17001,Illinois,Illinois,ADAMS,66922,Illinois
IL,ADAMS,2006,11,1215397.5,17001,Illinois,Illinois,ADAMS,66922,Illinois
IL,ADAMS,2006,12,1304924.34,17001,Illinois,Illinois,ADAMS,66922,Illinois
IL,ADAMS,2007,1,140048.1,17001,Illinois,Illinois,ADAMS,66840,Illinois
IL,ADAMS,2007,2,1052272.6,17001,Illinois,Illinois,ADAMS,66840,Illinois
IL,ADAMS,2007,3,1102476.9725,17001,Illinois,Illinois,ADAMS,66840,Illinois
IL,ADAMS,2007,4,1006092.705,17001,Illinois,Illinois,ADAMS,66840,Illinois
IL,ADAMS,2007,5,1200012.4935,17001,Illinois,Illinois,ADAMS,66840,Illinois
IL,ADAMS,2007,6,1008315.260225,17001,Illinois,Illinois,ADAMS,66840,Illinois
IL,ADAMS,2007,7,1271734.375725,17001,Illinois,Illinois,ADAMS,66840,Illinois
IL,ADAMS,2007,8,1022746.175,17001,Illinois,Illinois,ADAMS,66840,Illinois
IL,ADAMS,2007,9,1143195.194,17001,Illinois,Illinois,ADAMS,66840,Illinois
IL,ADAMS,2007,10,1689869.857725,17001,Illinois,Illinois,ADAMS,66840,Illinois
IL,ADAMS,2007,11,1442500.04,17001,Illinois,Illinois,ADAMS,66840,Illinois
IL,ADAMS,2007,12,1672218.033,17001,Illinois,Illinois,ADAMS,66840,Illinois
IL,ADAMS,2008,1,82435.2,17001,Illinois,Illinois,ADAMS,66895,Illinois
IL,ADAMS,2008,2,1193342.402,17001,Illinois,Illinois,ADAMS,66895,Illinois
IL,ADAMS,2008,3,1168438.341,17001,Illinois,Illinois,ADAMS,66895,Illinois
IL,ADAMS,2008,4,1344684.1955,17001,Illinois,Illinois,ADAMS,66895,Illinois
IL,ADAMS,2008,5,1258682.070225,17001,Illinois,Illinois,ADAMS,66895,Illinois
IL,ADAMS,2008,6,1211542.4365875,17001,Illinois,Illinois,ADAMS,66895,Illinois
IL,ADAMS,2008,7,1363372.65,17001,Illinois,Illinois,ADAMS,66895,Illinois
IL,ADAMS,2008,8,1382284.0875,17001,Illinois,Illinois,ADAMS,66895,Illinois
IL,ADAMS,2008,9,1319817.45,17001,Illinois,Illinois,ADAMS,66895,Illinois
IL,ADAMS,2008,10,1838077.3845,17001,Illinois,Illinois,ADAMS,66895,Illinois
IL,ADAMS,2008,11,1612581.9735,17001,Illinois,Illinois,ADAMS,66895,Illinois
