STNAME,CTYNAME,YEAR,POPULATION
Illinois,Adams County,2000,68220
Illinois,Alexander County,2000,9584
Illinois,Bond County,2000,17650
Illinois,Boone County,2000,42053
Illinois,Brown County,2000,6963
Illinois,Bureau County,2000,35473
Illinois,Calhoun County,2000,5090
Illinois,Carroll County,2000,16626
Illinois,Cass County,2000,13680
Illinois,Champaign County,2000,179931
Illinois,Christian County,2000,35354
Illinois,Clark County,2000,16993
Illinois,Clay County,2000,14410
Illinois,Clinton County,2000,35536
Illinois,Coles County,2000,53078
Illinois,Cook County,2000,5376861
Illinois,Crawford County,2000,20398
Illinois,Cumberland County,2000,11256
Illinois,DeKalb County,2000,89334
Illinois,De Witt County,2000,16790
Illinois,Douglas County,2000,19925
Illinois,DuPage County,2000,906576
Illinois,Edgar County,2000,19657
Illinois,Edwards County,2000,6967
Illinois,Effingham County,2000,34260
Illinois,Fayette County,2000,21792
Illinois,Ford County,2000,14209
Illinois,Franklin County,2000,39016
Illinois,Fulton County,2000,38240
Illinois,Gallatin County,2000,6427
Illinois,Greene County,2000,14746
Illinois,Grundy County,2000,37678
Illinois,Hamilton County,2000,8604
Illinois,Hancock County,2000,20089
Illinois,Hardin County,2000,4787
Illinois,Henderson County,2000,8209
Illinois,Henry County,2000,51049
Illinois,Iroquois County,2000,31320
Illinois,Jackson County,2000,59612
Illinois,Jasper County,2000,10070
Illinois,Jefferson County,2000,40053
Illinois,Jersey County,2000,21655
Illinois,Jo Daviess County,2000,22276
Illinois,Johnson County,2000,12920
Illinois,Kane County,2000,407511
Illinois,Kankakee County,2000,103879
Illinois,Kendall County,2000,55217
Illinois,Knox County,2000,55754
Illinois,Lake County,2000,648116
Illinois,LaSalle County,2000,111516
Illinois,Lawrence County,2000,15390
Illinois,Lee County,2000,36053
Illinois,Livingston County,2000,39651
Illinois,Logan County,2000,31149
Illinois,McDonough County,2000,32855
Illinois,McHenry County,2000,261887
Illinois,McLean County,2000,150897
Illinois,Macon County,2000,114476
Illinois,Macoupin County,2000,48989
Illinois,Madison County,2000,259120
Illinois,Marion County,2000,41687
Illinois,Marshall County,2000,13138
Illinois,Mason County,2000,16009
Illinois,Massac County,2000,15127
Illinois,Menard County,2000,12493
Illinois,Mercer County,2000,16950
Illinois,Monroe County,2000,27763
Illinois,Montgomery County,2000,30625
Illinois,Morgan County,2000,36617
Illinois,Moultrie County,2000,14319
Illinois,Ogle County,2000,51161
Illinois,Peoria County,2000,183166
Illinois,Perry County,2000,23061
Illinois,Piatt County,2000,16371
Illinois,Pike County,2000,17335
Illinois,Pope County,2000,4418
Illinois,Pulaski County,2000,7324
Illinois,Putnam County,2000,6075
Illinois,Randolph County,2000,33897
Illinois,Richland County,2000,16242
Illinois,Rock Island County,2000,149143
Illinois,St. Clair County,2000,256208
Illinois,Saline County,2000,26631
Illinois,Sangamon County,2000,189093
Illinois,Schuyler County,2000,7189
Illinois,Scott County,2000,5539
Illinois,Shelby County,2000,22831
Illinois,Stark County,2000,6320
Illinois,Stephenson County,2000,48882
Illinois,Tazewell County,2000,128494
Illinois,Union County,2000,18256
Illinois,Vermilion County,2000,83796
Illinois,Wabash County,2000,12903
Illinois,Warren County,2000,18683
Illinois,Washington County,2000,15163
Illinois,Wayne County,2000,17124
Illinois,White County,2000,15328
Illinois,Whiteside County,2000,60631
Illinois,Will County,2000,508038
Illinois,Williamson County,2000,61265
Illinois,Winnebago County,2000,278989
Illinois,Woodford County,2000,35484
