STNAME,CTYNAME,YEAR,POPULATION
Hawaii,Hawaii County,2000,149095
Hawaii,Honolulu County,2000,875061
Hawaii,Kalawao County,2000,145
Hawaii,Kauai County,2000,58511
Hawaii,Maui County,2000,128754
Hawaii,Hawaii County,2001,150881
Hawaii,Honolulu County,2001,877189
Hawaii,Kalawao County,2001,138
Hawaii,Kauai County,2001,58748
Hawaii,Maui County,2001,131349
Hawaii,Hawaii County,2002,153170
Hawaii,Honolulu County,2002,882628
Hawaii,Kalawao County,2002,133
Hawaii,Kauai County,2002,59466
Hawaii,Maui County,2002,132672
Hawaii,Hawaii County,2003,156340
Hawaii,Honolulu County,2003,888026
Hawaii,Kalawao County,2003,129
Hawaii,Kauai County,2003,60061
Hawaii,Maui County,2003,134742
Hawaii,Hawaii County,2004,160170
Hawaii,Honolulu County,2004,894406
Hawaii,Kalawao County,2004,119
Hawaii,Kauai County,2004,61070
Hawaii,Maui County,2004,137017
Hawaii,Hawaii County,2005,164887
Hawaii,Honolulu County,2005,900340
Hawaii,Kalawao County,2005,119
Hawaii,Kauai County,2005,61759
Hawaii,Maui County,2005,139012
Hawaii,Hawaii County,2006,169540
Hawaii,Honolulu County,2006,903467
Hawaii,Kalawao County,2006,106
Hawaii,Kauai County,2006,62079
Hawaii,Maui County,2006,140407
Hawaii,Hawaii County,2007,173190
Hawaii,Honolulu County,2007,898695
Hawaii,Kalawao County,2007,95
Hawaii,Kauai County,2007,62922
Hawaii,Maui County,2007,141930
Hawaii,Hawaii County,2008,176399
Hawaii,Honolulu County,2008,902745
Hawaii,Kalawao County,2008,84
Hawaii,Kauai County,2008,63875
Hawaii,Maui County,2008,144378
Hawaii,Hawaii County,2009,177835
Hawaii,Honolulu County,2009,907574
Hawaii,Kalawao County,2009,83
Hawaii,Kauai County,2009,64529
Hawaii,Maui County,2009,145157
Hawaii,Hawaii County,2010,185361
Hawaii,Honolulu County,2010,956320
Hawaii,Kalawao County,2010,90
Hawaii,Kauai County,2010,67208
Hawaii,Maui County,2010,155025
Hawaii,Hawaii County,2011,187101
Hawaii,Honolulu County,2011,967510
Hawaii,Kalawao County,2011,90
Hawaii,Kauai County,2011,67894
Hawaii,Maui County,2011,156967
Hawaii,Hawaii County,2012,189199
Hawaii,Honolulu County,2012,978295
Hawaii,Kalawao County,2012,89
Hawaii,Kauai County,2012,68680
Hawaii,Maui County,2012,158936
Hawaii,Hawaii County,2013,191521
Hawaii,Honolulu County,2013,986494
Hawaii,Kalawao County,2013,89
Hawaii,Kauai County,2013,69653
Hawaii,Maui County,2013,161065
Hawaii,Hawaii County,2014,193812
Hawaii,Honolulu County,2014,988002
Hawaii,Kalawao County,2014,89
Hawaii,Kauai County,2014,70316
Hawaii,Maui County,2014,163116
Hawaii,Hawaii County,2015,196111
Hawaii,Honolulu County,2015,991755
Hawaii,Kalawao County,2015,88
Hawaii,Kauai County,2015,71052
Hawaii,Maui County,2015,163993
Hawaii,Hawaii County,2016,198583
Hawaii,Honolulu County,2016,993044
Hawaii,Kalawao County,2016,88
Hawaii,Kauai County,2016,71574
Hawaii,Maui County,2016,165596
Hawaii,Hawaii County,2017,200400
Hawaii,Honolulu County,2017,986973
Hawaii,Kalawao County,2017,87
Hawaii,Kauai County,2017,71838
Hawaii,Maui County,2017,166465
Hawaii,Hawaii County,2018,202263
Hawaii,Honolulu County,2018,981076
Hawaii,Kalawao County,2018,87
Hawaii,Kauai County,2018,72292
Hawaii,Maui County,2018,167384
Hawaii,Hawaii County,2019,202165
Hawaii,Honolulu County,2019,973491
Hawaii,Kalawao County,2019,87
Hawaii,Kauai County,2019,72190
Hawaii,Maui County,2019,167682
Oklahoma,Adair County,2000,21050
Oklahoma,Alfalfa County,2000,6080
Oklahoma,Atoka County,2000,13840
Oklahoma,Beaver County,2000,5792
Oklahoma,Beckham County,2000,19744
Oklahoma,Blaine County,2000,11957
Oklahoma,Bryan County,2000,36597
Oklahoma,Caddo County,2000,30098
Oklahoma,Canadian County,2000,88144
Oklahoma,Carter County,2000,45591
Oklahoma,Cherokee County,2000,42674
Oklahoma,Choctaw County,2000,15328
Oklahoma,Cimarron County,2000,3149
Oklahoma,Cleveland County,2000,208403
Oklahoma,Coal County,2000,6004
Oklahoma,Comanche County,2000,114675
Oklahoma,Cotton County,2000,6629
Oklahoma,Craig County,2000,14929
Oklahoma,Creek County,2000,67566
Oklahoma,Custer County,2000,26053
Oklahoma,Delaware County,2000,37195
Oklahoma,Dewey County,2000,4708
Oklahoma,Ellis County,2000,4043
Oklahoma,Garfield County,2000,57690
Oklahoma,Garvin County,2000,27257
Oklahoma,Grady County,2000,45570
Oklahoma,Grant County,2000,5124
Oklahoma,Greer County,2000,6035
Oklahoma,Harmon County,2000,3273
Oklahoma,Harper County,2000,3547
Oklahoma,Haskell County,2000,11827
Oklahoma,Hughes County,2000,14123
Oklahoma,Jackson County,2000,28254
Oklahoma,Jefferson County,2000,6769
Oklahoma,Johnston County,2000,10516
Oklahoma,Kay County,2000,47944
Oklahoma,Kingfisher County,2000,13884
Oklahoma,Kiowa County,2000,10198
Oklahoma,Latimer County,2000,10652
Oklahoma,Le Flore County,2000,48128
Oklahoma,Lincoln County,2000,32127
Oklahoma,Logan County,2000,33942
Oklahoma,Love County,2000,8827
Oklahoma,McClain County,2000,27847
Oklahoma,McCurtain County,2000,34389
Oklahoma,McIntosh County,2000,19478
Oklahoma,Major County,2000,7529
Oklahoma,Marshall County,2000,13150
Oklahoma,Mayes County,2000,38430
Oklahoma,Murray County,2000,12589
Oklahoma,Muskogee County,2000,69412
