YEAR,STNAME,CTYNAME,Death Rate (%),POPULATION,Indicator
2003,Hawaii,Hawaii County,0.00703594729435845,156340,Control
2003,Hawaii,Honolulu County,0.00698177756056692,888026,Control
2003,Hawaii,Kalawao County,0.007008862427462684,129,Control
2003,Hawaii,Kauai County,0.007008862427462684,60061,Control
2003,Hawaii,Maui County,0.007008862427462684,134742,Control
2004,Hawaii,Hawaii County,0.006867703065492913,160170,Control
2004,Hawaii,Honolulu County,0.007714617299078942,894406,Control
2004,Hawaii,Kalawao County,0.007291160182285927,119,Control
2004,Hawaii,Kauai County,0.007291160182285927,61070,Control
2004,Hawaii,Maui County,0.007291160182285927,137017,Control
2005,Hawaii,Hawaii County,0.011523043053727705,164887,Control
2005,Hawaii,Honolulu County,0.009663016193882311,900340,Control
2005,Hawaii,Kalawao County,0.010593029623805008,119,Control
2005,Hawaii,Kauai County,0.010593029623805008,61759,Control
2005,Hawaii,Maui County,0.010593029623805008,139012,Control
2006,Hawaii,Hawaii County,0.0064197142784407175,169540,Control
2006,Hawaii,Honolulu County,0.0064197142784407175,903467,Control
2006,Hawaii,Kalawao County,0.0064197142784407175,106,Control
2006,Hawaii,Kauai County,0.0064197142784407175,62079,Control
2006,Hawaii,Maui County,0.0064197142784407175,140407,Control
2007,Hawaii,Hawaii County,0.008083607598591143,173190,Control
2007,Hawaii,Honolulu County,0.009903248599357957,898695,Control
2007,Hawaii,Kalawao County,0.00899342809897455,95,Control
2007,Hawaii,Kauai County,0.00899342809897455,62922,Control
2007,Hawaii,Maui County,0.00899342809897455,141930,Control
2008,Hawaii,Hawaii County,0.013038622667928957,176399,Control
2008,Hawaii,Honolulu County,0.007864900941018781,902745,Control
2008,Hawaii,Kalawao County,0.01045176180447387,84,Control
2008,Hawaii,Kauai County,0.01045176180447387,63875,Control
2008,Hawaii,Maui County,0.01045176180447387,144378,Control
2009,Hawaii,Hawaii County,0.01574493209998032,177835,Control
2009,Hawaii,Honolulu County,0.008924892074916205,907574,Control
2009,Hawaii,Kalawao County,0.012334912087448262,83,Control
2009,Hawaii,Kauai County,0.012334912087448262,64529,Control
2009,Hawaii,Maui County,0.012334912087448262,145157,Control
2010,Hawaii,Hawaii County,0.005934365913002196,185361,Control
2010,Hawaii,Honolulu County,0.010456750878367074,956320,Control
2010,Hawaii,Kalawao County,0.008195558395684635,90,Control
2010,Hawaii,Kauai County,0.008195558395684635,67208,Control
2010,Hawaii,Maui County,0.008195558395684635,155025,Control
2011,Hawaii,Hawaii County,0.006413648243462087,187101,Control
2011,Hawaii,Honolulu County,0.01188618205496584,967510,Control
2011,Hawaii,Kalawao County,0.012895426984553732,90,Control
2011,Hawaii,Kauai County,0.012895426984553732,67894,Control
2011,Hawaii,Maui County,0.020386450655233264,156967,Control
2012,Hawaii,Hawaii County,0.01061232541002309,189199,Control
2012,Hawaii,Honolulu County,0.010528521560470001,978295,Control
2012,Hawaii,Kalawao County,0.01061232541002309,89,Control
2012,Hawaii,Kauai County,0.01061232541002309,68680,Control
2012,Hawaii,Maui County,0.010696129259576182,158936,Control
2013,Hawaii,Hawaii County,0.0052213595375964,191521,Control
2013,Hawaii,Honolulu County,0.010441016367053423,986494,Control
2013,Hawaii,Kalawao County,0.008532084510564935,89,Control
2013,Hawaii,Kauai County,0.008532084510564935,69653,Control
2013,Hawaii,Maui County,0.009933877627044983,161065,Control
2014,Hawaii,Hawaii County,0.0051596392380244775,193812,Control
2014,Hawaii,Honolulu County,0.010020222631128277,988002,Control
2014,Hawaii,Kalawao County,0.008738317820137655,89,Control
2014,Hawaii,Kauai County,0.008738317820137655,70316,Control
2014,Hawaii,Maui County,0.011035091591260208,163116,Control
2015,Hawaii,Hawaii County,0.005609068333749764,196111,Control
2015,Hawaii,Honolulu County,0.01199893118764211,991755,Control
2015,Hawaii,Kalawao County,0.009324765214595779,88,Control
2015,Hawaii,Kauai County,0.009324765214595779,71052,Control
2015,Hawaii,Maui County,0.010366296122395468,163993,Control
2003,Oklahoma,Adair County,0.011824833142841691,21285,Control
2003,Oklahoma,Alfalfa County,0.011824833142841691,5800,Control
2003,Oklahoma,Atoka County,0.011824833142841691,14155,Control
2003,Oklahoma,Beaver County,0.011824833142841691,5519,Control
2003,Oklahoma,Beckham County,0.011824833142841691,19205,Control
2003,Oklahoma,Blaine County,0.011824833142841691,11188,Control
2003,Oklahoma,Bryan County,0.011824833142841691,36872,Control
2003,Oklahoma,Caddo County,0.011824833142841691,29925,Control
2003,Oklahoma,Canadian County,0.011824833142841691,92230,Control
2003,Oklahoma,Carter County,0.011824833142841691,46150,Control
2003,Oklahoma,Cherokee County,0.011824833142841691,43853,Control
2003,Oklahoma,Choctaw County,0.011824833142841691,15138,Control
2003,Oklahoma,Cimarron County,0.011824833142841691,2896,Control
2003,Oklahoma,Cleveland County,0.006833744117285273,219499,Control
2003,Oklahoma,Coal County,0.011824833142841691,5890,Control
2003,Oklahoma,Comanche County,0.011824833142841691,110484,Control
2003,Oklahoma,Cotton County,0.011824833142841691,6431,Control
2003,Oklahoma,Craig County,0.011824833142841691,14781,Control
